,P1,P,P2,Q,R,S,T1,T,Cluster
762,-0.0009115770282632,0.1130355515040968,0.2133090246125862,0.3327256153144998,0.3928896991795882,0.4366453965360162,0.633546034639916,0.816773017319971,3
763,-0.0009354536950465,0.1197380729653997,0.2263797942002009,0.3470533208606207,0.4087932647334003,0.4536950420954219,0.6557530402244924,0.8437792329279711,1
764,-0.0009302325581439,0.1209302325581365,0.2297674418604806,0.3497674418604732,0.4111627906976855,0.4558139534883854,0.6576744186046521,0.8446511627907209,1
765,-0.0009328358208999,0.11660447761194,0.2248134328358332,0.3451492537313466,0.4076492537313533,0.4524253731343399,0.6567164179104533,0.8442164179104467,1
766,-0.0009337068160376,0.1185807656395983,0.2259570494864791,0.3464052287581793,0.4089635854341899,0.45378151260506,0.6582633053221418,0.8459383753501472,1
767,-0.0009372071227786,0.1171508903467658,0.2230552952202417,0.3448922211808739,0.4076850984067472,0.452671040299907,0.6579194001874352,0.8462980318650285,1
768,-0.0009372071227786,0.1171508903467689,0.2239925023430262,0.3439550140581044,0.4067478912839795,0.4517338331771404,0.6579194001874528,0.846298031865051,1
769,-0.0009425070688075,0.1102733270499458,0.2186616399623034,0.3393025447690787,0.4024505183788889,0.4476908576814363,0.6531573986804878,0.8426013195098917,1
770,-0.0009425070687807,0.1083883129123546,0.2205466540999126,0.3063147973609942,0.4015080113100974,0.4467483506126435,0.651272384542882,0.8407163053723077,1
771,-0.0009398496240646,0.1090225563909644,0.2255639097744461,0.3082706766917341,0.4031954887218091,0.4483082706766983,0.6531954887218024,0.8421052631578877,1
772,-0.0009354536950465,0.1113189897100103,0.2291861552852935,0.310570626753973,0.4050514499532249,0.4499532273152477,0.6538821328344167,0.8419083255378738,1
773,-0.0009293680297442,0.1161710037174728,0.2332713754646634,0.3457249070631858,0.407992565055758,0.4526022304832693,0.655204460966532,0.8420074349442221,1
774,-0.0009302325581175,0.1153488372093225,0.2316279069767625,0.3134883720930346,0.4074418604651252,0.4520930232558239,0.6548837209302294,0.8418604651162668,1
775,-0.0009267840593185,0.119555143651546,0.2335495829471804,0.3169601482854592,0.4105653382761898,0.4550509731232718,0.6570898980537517,0.8433734939758945,1
776,-0.000914913083257,0.1189387008234217,0.2387923147301006,0.3751143641354071,0.4263494967978042,0.4766697163769442,0.6322049405306496,0.8161024702653248,1
777,-0.0009124087591239,0.1204379562043796,0.2399635036496351,0.3759124087591242,0.4270072992700729,0.4771897810218979,0.6332116788321167,0.8166058394160584,1
778,-0.0009115770282591,0.1239744758432084,0.243391066545123,0.3773928896991793,0.428441203281677,0.478577939835916,0.633546034639927,0.8167730173199634,1
779,-0.0009115770282583,0.1230628988149504,0.2424794895168641,0.37739288969918,0.4284412032816777,0.4785779398359163,0.6335460346399271,0.8167730173199631,1
780,-0.0009099181073706,0.1237488626023658,0.2429481346678801,0.3785259326660603,0.4294813466787992,0.4795268425841674,0.6342129208371245,0.8171064604185619,1
